"ID"	"Expense Euros"	"Expense Dollars"	"Description"	"Date"		"Category"	"Type"	"Trip"
1	246,55 €		"Campus Laval  : 1er loyer du CAMPUS LAVAL"	01/08/2019		"housing:rent"		
2	545,23 €		"Avion : billet France -> Québec"			"transport:plane"		
3	30 €		"Equipement fnac, oreiller"	04/08/2019		"equipement:other"		
4	135 €		"Pharmacie crème visage + dermatologue"	06/08/2019		"health"		
5	16 €		"Mcdo"	10/08/2019		"alimentary"		
6	50 €		"Leclerc"			"alimentary"		
7	30 €		"Franprix"	15/08/2019		"alimentary"		
8	10 €		"Casino"	17/08/2019		"alimentary"		
9		6,5	"transport bus arrivée"	22/08/2019		"transport"		
10		117,5	"chambre mois d'août"			"housing"		
11		10,34	"bonbon reese (test carte bleue)"			"alimentary"		
12		6,61	"adaptateur"			"equipement"		
13		10	"Mcdo"			"alimentary"		
14		23	"Thé gingembre 1 boite"	23/08/2019		"alimentary"		
15		183,79	"Levis : 2 jeans, un foncé et un couleur jean"			"equipement"		
16		102,59	"Walmart : brosse à dents, crocks, rasoirs"			"equipement:other"		
17		17,19	"shampoing Ives Rocher"			"health"		
18		39,36	"Walmart : tasse, bol, bouilloire, boule à thé, manger"			"equipement"		
19		68,96	"jean et short sport"			"equipement"		
20		8,75	"carte bus 1 jour"			"transport"		
21		6,72	"frappé starbuck"			"alimentary"		
22		18	"PFK : mauvais"			"alimentary"		
23		8,25	"Queue de castor : poutine"			"alimentary"		
24		20,66	"Thinkkitchen : fouet, passoire"	24/08/2019		"equipement"		
25		30,17	"Le creuset : gant et protège main cuisine"			"equipement"		
26		18,37	"H&M : 2 t-shirt"			"equipement"		
27		6,2	"Bus vieux port, feu d'artifice"			"transport"		
28		11,1	"Tim Horton"			"alimentary"		
29		60,22	"Walmart : draps + oreiller"			"equipement"		
30		8,25	"Murphy's : bar"			"alimentary"		
31		20	"retrait espèce"	25/08/2019		"other:withdrawal"		
32		49,18	"Metro : nourriture"			"alimentary"		
33		6,2	"Transport bus"	26/08/2019		"transport"		
34		14,25	"Bar : mètre bière"			"alimentary"		
35		22,42	"Poutineville : grosse poutine"			"alimentary"		
36		10,58	"Poutineville : Tiphanie"			"alimentary"		
37		197,74	"Sport Experts : chaussures et maillot de bain"			"equipement"		
38		25,25	"Metro : cuisine et barbecue"	27/08/2019		"alimentary"		
39		6,33	"Lvlop"			"leasure"		
40		6,2	"Transport bus"			"transport"		
41		45,98	"Epicerie européenne"			"alimentary"		
42		47,53	"Metro : courses cuisine et manger"	28/08/2019		"alimentary"		
43		357,86	"Creuset : Casserole et poele"			"equipement"		
44		41,81	"Walmart : équipement papier cuisson …"			"equipement"		
45		10	"Linge"			"equipement"		
46		6,2	"Bus"	29/08/2019		"transport"		
47		18,24	"Coop Zone : feuilles cahier"					
48		16,2	"Dollarama"					
49		3,44	"Poste canada : enveloppes blanches"					
50		120,6	"Lpu"					
51		51,44	"Amazon : balance et mixeur"					
52		50	"OVH : nom domaine"					
53		11,05	"Lvlop"	30/08/2019				
54		4,03	"Bière magasin près lvlop"					
55		6,2	"Bus"					
56		14,83	"La place : thé et autre"					
57		42,11	"Metro : nourriture"	31/08/2019				
58		7	"Pub Universitaire"					
59								
60		7	"Pub Universitaire : soirée"	03/09/2019		"leasure:pub"		
61		57,57	"Metro : nourriture"			"alimentary:food"		
62								
63		59,9	"Iga : nourriture"	05/09/2019		"alimentary:food"		
64								
65		147,06	"ThinkKitchen : équipement"	06/09/2019		"equipement:cooking"		
66		10,45	"Métro : alimentation"			"alimentary:food"		
67		10,01	"T-shirt laval x2"			"equipement:dress"		
68		168	"Amazon : livres cours"					
69								
70		20,47	"Métro : Fruits légumes"	07/09/2019		"alimentary:food"		
71								
72		10	"Imprimante"	08/09/2019		"other:printer"		
73		9	"Ciné : Ça"			"leasure:movie_theater"		
74								
75		20	"Mcdo"	09/09/2019		"alimentary:restaurant"		
76								
77		9,25	"Métro : légume"			"alimentary:food"		
78								
79		55,9	"SAQ : vodka et kraken (rhum)"	11/09/2019				
80		30	"Coiffeur Cité"					
81		16,5	"Pub U"					
82		60	"Amazon : raquette ping pong"					
83								
84		60,83	"Metro : courses"	12/09/2019				
85								
86		31,04	"Dollarama : plats en verre"	13/09/2019		"equipement:cooking"		
87		60,34	"IGA : cuisine"			"alimentary:pastry"		
88		26,42	"Métro : cuisine"			"alimentary:food"		
89		14,92	"Escompte : bière"			"alimentary:alcohol"		
90		42,97	"Épicerie européenne"			"alimentary:gluttony"		
91		14,92	"Anniv bougies + autre"			"other:present"		
92		13,92	"?"			"other"		
93								
94		26	"Mcdo : rentrant de soirée"	15/09/2019		"alimentary:restaurant"		
95		23	"Shogun : Japonais à volonter"			"alimentary:restaurant"		
96								
97		1080	"Campus Laval : Payement des loyers de oct., nov. et déc."	17/09/2019		"housing:rent"		
98		32	"Amazon : jeu d'échec"			"leasure:board_game"		
99								
100		8,96	"Pub U : ailes de poulet + bière"	18/09/2019		"alimentary:restaurant"		
101								
102		24,74	"Metro : alimentaire"	19/09/2019		"alimentary:food"		
103								
104		35,25	"SAQ : alcool"	20/09/2019		"alimentary:alcohol"		
105		5,59	"Chez Alphonse : provision départ baleines"			"alimentary:gluttony"		
106		11,54	"Walmart : provision départ baleines"			"alimentary:gluttony"		
107		13,8	"Décathlon : thermos"			"equipement:sport"		
108		25	"Mcdo :"			"alimentary:restaurant"		
109								
110		6,9	"Frisson : glace 2 boules"	21/09/2019		"alimentary:gluttony"		
111		12,15	"Epicerie tadusac"			"alimentary:gluttony"		
112								
113		10,34	"Métro : viande"	23/09/2019		"alimentary:food"		
114		28,63	"Coiffeur cité : gomme"			"other:hairdresser"		
115		28,74	"Yves Rocher : masques"			"health:cream"		
116		59,71	"Walmart : crème, solaire, coussin, lampe"			"health:cream"		
117		27,88	"Dollarama : paniers"			"equipement:other"		
118								
119	600		"ENSEA : inscription"	25/09/2019		"school:registration"		
120	91		"CVEC : inscription ENSEA"			"school:registration"		
121	-600		"Remboursement parents"			"reimbursement:119"		
122	-91		"Remboursement parents"			"reimbursement:120"		
123								
124		35,02	"Walmart : courses"	26/09/2019		"alimentary:food"		
125		12,95	"Métro : courses"			"alimentary:food"		
126		23,68	"Livres + affaires"			"school:supplies"		
127		3,04	"lettre"			"other:post"		
128		70,09	"H&M : vêtements haut"			"equipement:dress"		
129								
130		20	"Coinomatic : argent pour machine à laver"	27/09/2019		"housing:laundry"		
131								
132		13,47	"Métro : courses cuisine"	29/09/2019		"alimentary:food"		
133								
134		41,36	"IGA : courses + pâtisserie"	30/09/2019		"alimentary:food"		
135		14	"ESTA"			"transport:authorization"		"NY.19.10"
136								
137								
138		6,39	"Frisson : glace"	03/10/2019		"alimentary:gluttony"		
139		160,69	"Desjardins : marathon Québec"			"leasure:activity"		
140								
141		53,24	"Metro courses"	04/10/2019		"alimentary:food"		
142		9	"Clap (cinéma, Joker)"			"leasure:movie_theater"		
143								
144		3	"lvlop"	05/10/2019		"leasure:out"		
145		42,21	"Metro courses"			"alimentary:food"		
146								
147		25	"Mcdo : Uber eats"	09/10/2019		"alimentary:restaurant"		
148								
149		22	"Amazon : brassard course"	10/10/2019		"equipement:sport"		
150	222,3		"Remboursement : Aurélien logement New York; NY.19.10"			"housing:hotel"		"NY.19.10"
151	189,36		"Busbud : bus aller retour NewYork; NY.19.10"			"transport:bus"		"NY.19.10"
152	4,72		"Frisson : glace"			"alimentary:gluttony"		
153								
154		57,48	"Sport Experts : sac course"	11/10/2019		"equipement:sport"		
155		40,31	"Metro courses"			"alimentary:food"		
156	10,8		"Mcdo"			"alimentary:restaurant"		
157	7,11		"RAMQ"			"health:insurance"		
158								
159		14	"Sport Experts : gourde"	12/10/2019		"equipement:sport"		
160								
161	32,11		"Mcdo : Uber eats"	13/10/2019		"alimentary:restaurant"		
162								
163		29,99	"Métro courses"	14/10/2019		"alimentary:food"		
164	530,75		"Remboursement Aymeric Cuba vol + hotel inclus; cuba.19.10"			"transport:plane"		"CUBA.19.10"
165								
166		7	"Pub U"	16/10/2019		"leasure:pub"		
167		20	"Photo marathon"			"other"		
168								
169	21,19		"Retrait borne : pour le pauvre qui m'a indiqué le chemin"	18/10/2019		"other"		"NY.19.10"
170	11,16		"Wendy's"			"alimentary:restaurant"		"NY.19.10"
171	9,26		"Chipotle"			"alimentary:restaurant"		"NY.19.10"
172	5,42		"US frontière payement"			"transport:authorization"		"NY.19.10"
173								
174	38,2		"World trade center 1 : visite du dernier étage"	19/10/2019		"leasure:visit"		"NY.19.10"
175	67,54		"Nintendo : peluches"			"other:present"		"NY.19.10"
176	9,48		"Wendy's"			"alimentary:restaurant"		"NY.19.10"
177	5,4		"Métro Newyorkais"			"transport:train"		"NY.19.10"
178	18,25		"Five Guys"			"alimentary:restaurant"		"NY.19.10"
179								
180	2,7		"Métro Newyorkais"	20/10/2019		"transport:train"		"NY.19.10"
181	11,54		"Tacobell"			"alimentary:restaurant"		"NY.19.10"
182	12,8		"Shake Shack"			"alimentary:restaurant"		"NY.19.10"
183								
184	16,7		"Five Guys"	21/10/2019		"alimentary:restaurant"		"NY.19.10"
185	15		"Pizza, remboursement Aurélien via Bastien"			"alimentary:restaurant"		"NY.19.10"
186								
187				22/10/2019				
188		43,44	"Skream : concert boite nuit electro"			"leasure:out"		
189								
190		27,51	"Poste : envoi colis Amélie et Clara"	23/10/2019		"other:post"		
191		43,52	"Métro : courses"			"alimentary:food"		
192								
193		4,8	"Walmart : bouchons oreilles"	25/10/2019		"equipement:other"		
194		48,27	"Costume Luigi et jeu compagnon"			"leasure:board_game"		
195								
196								
197	8,68		"Starbucks : café + gâteau"	27/10/2019		"alimentary:gluttony"		
198								
199	22		"Taxi + boite pirates"	28/10/2019		"leasure:out"		"CUBA.19.10"
200								
201								
202				29/10/2019				
203								
204	20		"Leçon de plongée dans la piscine"	30/10/2019		"leasure:activity"		"CUBA.19.10"
205								
206	85		"Plongée dans la baie des cochons"	31/10/2019		"leasure:activity"		"CUBA.19.10"
207								
208	41		"Visite de la Havane"	01/11/2019		"leasure:visit"		"CUBA.19.10"
209								
210	21,22		"Rhum"	04/11/2019		"alimentary:alcohol"		"CUBA.19.10"
211								
212		30,23	"Métro : courses petit dej et légumes"	05/11/2019		"alimentary:food"		
213	8,96		"A&W"			"alimentary:restaurant"		
214								
215		126,4	"Walmart : brosse à dents électrique et couette hiver"	06/11/2019		"equipement:bedding"		
216		13,27	"Pub U : ailes de poulet"			"alimentary:restaurant"		
217								
218		79,17	"Métro : courses cuisine et légumes"	08/11/2019		"alimentary:food"		
219								
220		44,05	"Métro courses"	09/11/2019		"alimentary:food"		
221								
222		93,13	"Decathlon : balle gym, tapis, patins à glace"	15/11/2019		"equipement:sport"		
223		53,98	"Ikea : protege couette, bougies"			"equipement:bedding"		
224		4,03	"Ikea : hotdogs"			"alimentary:gluttony"		
225		2,3	"Ikea : hotdogs"			"alimentary:gluttony"		
226								
227		29,13	"Desjardins affaires scolaires pour rangement"	16/11/2019		"school:supplies"		
228		61,1	"Métro courses"			"alimentary:food"		
229								
230		80	"Retrait distributeur"	17/11/2019		"other:withdrawal"		
231		140	"Achat téléphone Liam Iphone 7 (espèce)"			"equipement:phone"		
232		33,35	"Shogun sushi : jap illimité"			"alimentary:restaurant"		
233								
234		37	"Chalet : avance Mcdo"	22/11/2019		"alimentary:restaurant"		"Chalet.19.11"
235		25,01	"Bières pour le chalet"			"alimentary:alcohol"		"Chalet.19.11"
236		-37	"Remboursement avance chalet"			"reimbursement:234"		"Chalet.19.11"
237		105	"Chalet tout compris"			"housing:hotel"		"Chalet.19.11"
238								
239		80,64	"Provigo : courses"	28/11/2019		"alimentary:food"		
240		16	"Amazon : pompe vélo"			"equipement:sport"		
241	30		"Peluches pour noël"			"other:present"		
242		24	"Poste : lettre recommandée désabonnement le Monde"			"other:post"		
243		35	"Livre Plouf"			"leasure:book"		
244								
245		17,25	"Lvlop : aprem gaming"	29/11/2019		"leasure:out"		
246		29,16	"Épicerie européenne : thé et gingembre"			"alimentary:gluttony"		
247								
248								
249		190,85	"MEC : collant et 2 paires de chaussettes hiver"	01/12/2019		"equipement:sport"		
250								
251		10	"Apport solde linge"	03/12/2019		"housing:laundry"		
252		15	"Crypt of the necrdancer"			"leasure:video_game"		
253								
254		109,06	"IGA courses"	05/12/2019		"alimentary:food"		
255		-30	"Remboursement Étienne courses"			"reimbursement:254"		
256		124,49	"Sport Expert : bas pour la course et gants en merino"			"equipement:sport"		
257								
258		95,01	"IGA courses"	09/12/2019		"alimentary:food"		
259								
260		13,25	"Poste : lettres pour noël pour la famille"	10/12/2019		"other:post"		
261								
262	8		"Amazon : barres céréales testées fin marathon, nouveau test"	12/12/2019		"alimentary:food_test"		
263		5	"Marché de Noël : pain au fromage"			"alimentary:gluttony"		
264		20	"Pub St Alexandre : bière"			"leasure:pub"		
265								
266		11,42	"Cadeau Papa et Yann"	15/12/2019		"other:present"		
267		11,5	"Pub St Patrick"			"leasure:pub"		
268								
269		5,46	"Dollarama : paniers pour ranger"	16/12/2019		"equipement:other"		
270		60,17	"Librairie Renaud-Bray : 5 livres"			"leasure:book"		
271		21,62	"Metro : courses légères"			"alimentary:food"		
272		-10	"Remboursement Étienne bacon et œufs Metro courses"			"reimbursement:271"		
273								
274		40	"Frigo Poche acheté"	17/12/2019		"equipement:furniture"		
275								
276		73,59	"Metro : courses semaine"	18/12/2019		"alimentary:food"		
277								
278		25,75	"Metro : courses cuisine"	19/12/2019		"alimentary:pastry"		
279		-12	"Remboursement Étienne Metro"			"reimbursement:278"		
280		227,63	"Sport Experts : haut coupe vent et caleçons"			"equipement:sport"		
281								
282		39,07	"Épicerie européenne : thé et biscuits"	22/12/2019		"alimentary:gluttony"		
283		39,67	"Épicerie européenne : avance pour le repas de noël"			"alimentary:gluttony"		
284		114,68	"Metro : courses et avance pour le repas de noël"			"alimentary:gluttony"		
285		-114	"Remboursement Noël"			"reimbursement:284"	"cash"	
286		-39	"Remboursement Noël"			"reimbursement:283"		
287								
288		1080	"Campus Laval : Loyer résidence"	25/12/2019		"housing:rent"		
