"ID"	"Expense Euros"	"Expense Dollars"	"Description"	"Date"		"Category"	"Type"	"Trip"
289		-185,85	"MEC : remboursement commande"			"reimbursement:249"		
290		65,54	"MEC : achat chaussettes hiver"			"equipement:sport"		
291								
292		12,75	"Thinkkitchen : plaque pour gâteaux"	26/12/2019		"equipement:cooking"		
293		57,92	"Metro : course et beaucoup pour la cuisine"			"alimentary:food"		
294		9	"Cinéma : Star Wars"			"leasure:movie_theater"		
295		33,47	"Coiffeur"			"other:hairdresser"		
296								
297		45,38	"Metro : courses pour repas du 31"	31/12/2019		"alimentary:food"		
298	-24		"Remboursement repas 31 Kenan"			"reimbursement:297"		
299								
300		20	"Apport solde linge"	01/01/2020		"housing:laundry"		
301								
302		51,29	"Metro : courses"	05/01/2020		"alimentary:food"		
303								
304		22,28	"Mcdo : bouffe après le Shackeur"	08/01/2020		"alimentary:restaurant"		
305								
306		120,6	"Bus : payment du semestre"	09/01/2020		"transport:bus"		
307		6,7	"Bus : ticket aller retour"			"transport:bus"		
308								
309		58,13	"Metro : courses"	10/01/2020		"alimentary:food"		
310								
311		20	"Coop Zone : matériel scolaire"	11/01/2020		"school:supplies"	"cash"	
312								
313		63,14	"Metro : courses"	14/01/2020		"alimentary:food"		
314								
315		7,2	"Univrac : lentilles et amandes"	15/01/2020		"alimentary:food"	"cash"	
316		54,83	"Metro : courses"			"alimentary:food"		
317								
318		547	"Avion : voyage à Chicago"	16/01/2020		"transport:plane"		"CHICAGO.20.01"
319		6,1	"Metro : pâtisserie"			"alimentary:pastry"		
320								
321		16,94	"A&W : avec Louis"	18/01/2020		"alimentary:restaurant"		
322								
323	60		"Amazon : livres de cours"	20/01/2020		"school:supplies"		
324		147	"Dentiste : dent cassée en patinant"			"health:emergency"		
325								
326		9	"Clap : film 1917"	25/01/2020		"leasure:movie_theater"		
327		20	"Mcdo"			"alimentary:restaurant"		
328								
329	20,97		"Steam : Northgard"	26/01/2020		"leasure:video_game"		
330		88,96	"Metro : courses"			"alimentary:food"		
331		174,7	"Sport Expert : "			"equipement:sport"		
332								
333		12	"Chez Alphonse : fruits secs"	29/01/2020		"alimentary:food"		
334								
335		9,25	"Dollarama : panier pour rangement"	30/01/2020		"equipement"		
336		3,79	"Metro : bananes"			"alimentary:food"		
337								
338		9,47	"Café au temps perdu : date avec Ellie"	02/02/2020				
339		13,79	"Metro : préservatifs"					
340								
341		11,75	"Chez Alphonse : fruits secs"	03/02/2020				
342								
343		6	"Coop Zone : aaptateur prise américaine"	04/02/2020				
344								
345	50		"Amazon : livre"	05/02/2020		"equipement"		
346								
347		16	"A&W"	06/02/2020		"alimentary:restaurant"		"CHICAGO.20.01"
348	20		"Bus illimité"			"transport:bus"		"CHICAGO.20.01"
349	9,59		"Wendy's"			"alimentary:restaurant"		"CHICAGO.20.01"
350								
351	17,21		"Five Guys : restaurant"	07/02/2020		"alimentary:restaurant"		"CHICAGO.20.01"
352	9,7		"Mcdo"			"alimentary:restaurant"		"CHICAGO.20.01"
353								
354	17,37		"Domino's : pizza"	08/02/2020		"alimentary:restaurant"		"CHICAGO.20.01"
355								
356	5		"Rudy's bar : pizza pâte chicago"	09/02/2020		"alimentary:restaurant"		"CHICAGO.20.01"
357	3,5		"Dunkin' Donuts : donuts"			"alimentary:gluttony"		"CHICAGO.20.01"
358								
359	10		"Panda Express : bol"	10/02/2020		"alimentary:restaurant"		"CHICAGO.20.01"
360								
361		10	"Chez Alphonse : fruits secs"	12/02/2020		"alimentary:food"		
362								
363		4	"Coop Zone : papier"	13/02/2020		"school:supplies"		
364								
365		102,96	"Metro : courses"	14/02/2020		"alimentary:food"		
366								
367	30		"Logement pour Montréal"	15/02/2020		"housing:hotel"		
368		116	"Québec : CAQ"			"other:authorization"		
369								
370		32,84	"Metro : courses"	17/02/2020		"alimentary:food"		
371								
372		7	"Chez Alphonse : fruits secs"	19/02/2020		"alimentary:food"		
373								
374		14,22	"Chez Alphonse : fruits secs"	26/02/2020		"alimentary:food"		
375		59,55	"Coop zone : livres et piles"			"school:supplies"		
376								
377		56,18	"Epicerie européenne : thé, fromage et gingembre"	27/02/2020		"alimentary:gluttony"		
378								
379		25,13	"Poutineville"	29/02/2020		"alimentary:restaurant"		
380								
381		1080	"Campus Laval : loyer"	01/03/2020		"housing:rent"		
382								
383		60,26	"Metro : courses"	02/03/2020		"alimentary:food"		
384		41,9	"Archambault : livres"			"leasure:book"		
385		40	"Retrait liquide"			"other:withdrawal"		
386		1,5	"Steam : jeu vidéo"			"leasure:video_game"		
387								
388		48,3	"Avance Van Gogh pour Marie et Jacques"	04/03/2020		"leasure:out"		"MONTREAL.20.03"
389		44	"Avance New City Gaz pour Marie et Jacques"			"leasure:out"		"MONTREAL.20.03"
390		-48	"Remboursement avance Van Gogh"			"reimbursement:388"		"MONTREAL.20.03"
391		-44	"Remboursement avance New City Gaz "			"reimbursement:389"		"MONTREAL.20.03"
392								
393		19,5	"Transport Montréal"	05/03/2020		"transport:bus"		"MONTREAL.20.03"
394		176,72	"Metro : courses pour road trip"					"MONTREAL.20.03"
395		-176,72	"Remboursement"			"reimbursement:394"		"MONTREAL.20.03"
396		15,23	"Sandwich boucherie"	06/03/2020		"alimentary:restaurant"		"MONTREAL.20.03"
397		6,66	"Five Guys : milkshake"			"alimentary:gluttony"		"MONTREAL.20.03"
398								
399		6	"Nougat"	07/03/2020		"alimentary:gluttony"		"MONTREAL.20.03"
400								
401		82,79	"Sofitel Montreal : brunch"	08/03/2020		"alimentary:restaurant"		"MONTREAL.20.03"
402								
403		32,83	"Walmart : préservatifs et lubrifiant"	10/03/2020		"equipement:other"		
404		41,84	"Coiffeur"			"other:hairdresser"		
405								
406		8	"Attestation d'inscription"	11/03/2020		"school:registration"		
407		15,4	"Poste : lettre pour CAQ"			"other:post"		
408		14,87	"Univrac : fruits secs"			"alimentary:food"		
409								
410	60,17		"Studio Universal : souvenirs"	13/03/2020		"other:present"		"LA.20.03"
411								
412	3,71		"Mcdo : sundae"	14/03/2020		"alimentary:gluttony"		"LA.20.03"
413	10,51		"Panda Express : manger"			"alimentary:restaurant"		"LA.20.03"
414	10		"In and Out"			"alimentary:restaurant"		"LA.20.03"
415								
416	18,25		"Five Guys"	15/03/2020		"alimentary:restaurant"		"LA.20.03"
417	-2,5		"Remboursement Five Guys frites"			"reimbursement:416"		"LA.20.03"
418	10,8		"Korean BBQ"			"alimentary:restaurant"		"LA.20.03"
419								
420	11,68		"Burger King"	16/03/2020		"alimentary:restaurant"		"LA.20.03"
421								
422								
423	30,3		"Wendy's : avance"	17/03/2020		"alimentary:restaurant"		"LA.20.03"
424	-20,2		"Remboursement Wendy's"			"reimbursement:423"		"LA.20.03"
425								
426								
427	15,81		"Delaware North : burger"	18/03/2020		"alimentary:restaurant"		"LA.20.03"
428								
429	7		"Steam : DLC Crypt"	20/03/2020		"leasure:video_game"		
430								
431		114,11	"Metro : courses"	22/03/2020		"alimentary:food"		
432								
433	106,92		"Remboursement logement Aurélien LA"	23/03/2020		"housing:hotel"		
434	142,71		"Remboursement voiture essence Clément LA"			"transport:car"		
435								
436		35,42	"Épicerie européenne : courses"	02/04/2020		"alimentary:gluttony"		
437								
438		121,6	"Metro : courses"	03/04/2020		"alimentary:food"		
439								
440		111,67	"Metro : courses"	14/04/2020		"alimentary:food"		
441								
442	10		"Netflix"	17/04/2020		"leasure:streaming"		
443								
444		47,31	"Metro : courses"	18/04/2020		"alimentary:food"		
445								
446		65,35	"Metro : courses"	27/04/2020		"alimentary:food"		
447		44,08	"Metro : courses"			"alimentary:food"		
448								
449		75,66	"Metro : courses"	07/05/2020		"alimentary:food"		
450								
451		185	"MEC : chaussures + chaussettes (1 paire chaque)"	09/05/2020		"equipement:sport"		
452								
453		51,54	"Metro : courses"	13/05/2020		"alimentary:food"		
454								
455		38,49	"Metro : courses et extra"	15/05/2020		"alimentary:food"		
456		10	"Coinomatic : argent pour machine à laver"			"housing:laundry"		
457								
458	12,5		"Steam : Ratropolis"	16/05/2020		"leasure:video_game"		
459								
460		68,52	"Épicerie européenne : courses"	20/05/2020		"alimentary:gluttony"		
461								
462		117,81	"Metro : courses"	22/05/2020		"alimentary:food"		
463								
464		1,25	"Poste : papiers pour permi étude manquants"	28/05/2020		"other:post"		
465		76,51	"Walmart : équipement et affaires scolaires"			"equipement:other"		
466		30,3	"Metro : courses et extra"			"alimentary:food"		
467								
468		55,04	"Épicerie européenne : courses"	02/06/2020		"alimentary:food"		
469								
470		5	"Metro : courses"	03/06/2020		"alimentary:food"		
471		100,71	"Metro : courses"			"alimentary:food"		
472		7,9	"Frisson : glaces"			"alimentary:gluttony"		
473								
474		90	"Cité médicale : osthéopathie"	04/06/2020		"health:osteopath"		
475								
476		360	"Campus Laval : loyer"	05/06/2020		"housing:rent"		
477								
478		83,47	"Metro : courses"	08/06/2020				
479								
480		220	"Clinique dentaire Trudel B : Dentiste"	10/06/2020		"health:dentist"		
481								
482		20	"Mcdo"	12/06/2020				
483		7,6	"Frisson : glaces"			"alimentary:gluttony"		
484								
485		94,69	"Metro : courses"	13/06/2020				
486								
487		20	"Coinomatic : argent pour machine à laver"	14/06/2020				
488								
489		33,28	"Walmart : balais"	15/06/2020		"equipement:other"		
490								
491		24,6	"Walmart : achat lime à ongle, fil dentaire et ciseau ongle"	16/06/2020		"equipement:other"		
492		41,39	"Coiffeur : coupe de cheveux"			"other:hairdresser"		
493								
494		25,13	"Shogun sushi : restaurant"	17/06/2020		"alimentary:restaurant"		
495								
496		74,36	"Épicerie européenne : courses"	18/06/2020				
497								
498		23,41	"Masque pour pandémie Corona"	22/06/2020		"equipement:other"		
499		10,2	"Mary's popcorn : popcorn"			"alimentary:gluttony"		
500								
501		37,09	"Épicerie européenne : courses"	26/06/2020				
502		95,02	"IGA : courses"			"alimentary:food"		
503								
504		20,74	"Metro : courses"	01/07/2020		"alimentary:food"		
505								
506		9	"Boulangerie : pains au raisin"	03/07/2020		"alimentary:gluttony"		
507								
508		7,89	"Frisson : glace"	04/07/2020		"alimentary:gluttony"		
509		49,78	"Metro : courses"					
510								
511		42,52	"Sport Expert : corde à sauter et chaussettes course"	07/07/2020		"equipement:sport"		
512		49,03	"Metro : courses"			"alimentary:food"		
513								
514		23,21	"Best buy : clavier qwerty"	08/07/2020		"equipement:computer"		
515		67,03	"Metro : courses"			"alimentary:food"		
516		110	"Peps : nutritionniste"			"health:doctor"		
517								
518		1120	"Campus Laval : loyer"	10/07/2020				
519		24,8	"RTC : Ticket pour le bus"			"transport:bus"		
520		48,69	"Epicerie europeenne"			"alimentary:gluttony"		
521		8,4	"Le Crac : flocon d'avoinne, noix et echalotte"			"alimentary:food"		
522		40,23	"Rogers : ligne telephonique"			"equipement:phone"		
523								
524		14,12	"Metro : courses"	14/07/2020		"alimentary:food"		
525								
526		28,36	"Uber Eats : Mcdo"	15/07/2020		"alimentary:restaurant"		
527								
528		43,67	"Marshalls : chaussettes et caleçons"	16/07/2020		"equipement:dress"		
529		48,85	"Globo Chaussures : chaussures Geox de ville"			"equipement:dress"		
530		37,75	"Metro : courses"			"alimentary:food"		
531								
532		28,73	"Marshalls : remboursement caleçons"	19/07/2020		"reimbursement:529"		
533		34,48	"Marshalls : caleçons"			"equipement:dress"		
534		17,25	"Sport Expert : short course"			"equipement:sport"		
535								
536		270,4	"Desjardin : assurance maladie et hospitalisation"	20/07/2020		"health:insurance"		
537		44,65	"Metro : courses"					
538		11	"Peps : piscine"			"leasure:activity"		
539								
540		56,42	"Épicerie Européenne"	21/07/2020		"alimentary:gluttony"		
541		20,54	"Le Crac : flocon d'avoinne, miel et papaye + mangue séchée"					
542								
543		33,7	"Domino's : pizza"	22/07/2020		"alimentary:gluttony"		
544								
545		30,36	"Metro : courses"	24/07/2020				
546								
547		6,84	"Jus Jugo Juice : smoothie"	25/07/2020		"alimentary:gluttony"		
548								
549		1560	"Retrait borne"	28/07/2020		"other:withdrawal"		
550								
551		19,05	"Five Guys : midi"	29/07/2020		"alimentary:restaurant"		
552		17,77	"Pétro-Canada : plein essence"			"transport:car"		
553		26,69	"Pétro-Canada : plein essence"			"transport:car"		
554		18	"Indigo : place de stationnement"			"transport:car"		
555		38,25	"Discount : location voiture"			"transport:car"		
556		1575	"Dell : achat pc portable au détaillant"			"equipement:computer"	"cash"	
557								
558		45,98	"Coop Zone : achat clé usb 64Go"	30/07/2020		"equipement:computer"		
559		92,02	"Provigo : courses"			"alimentary:food"		
560		100	"Peps : nutritionniste"			"health:doctor"		
561								
562		"30.73"	"Le Crac : flocon d'avoinne, papaye + mangue séchée"	03/08/2020		"alimentary:food"		
563		"39.55"	"Épicerie Européenne"			"alimentary:food"		
564		10	"Coinomatic : argent pour machine à laver"					
565								
566		10	"Netflix : abonnement"	07/08/2020		"leasure:streaming"		
567								
568		"68.24"	"Provigo : courses"	08/08/2020		"alimentary:food"		
569								
570		300	"Médecin généraliste"	09/08/2020		"health:doctor"		
571								
572		"20.22"	"Provigo : courses"	11/08/2020		"alimentary:food"		
573								
574		"40.78"	"Provigo : courses"	14/08/2020		"alimentary:food"		
575								
576		"8.95"	"TIm Horton : Donuts"	16/08/2020		"alimentary:gluttony"		
577		"34.84"	"Metro : courses"			"alimentary:food"		
578								
579		85	"Peps : kine"	18/08/2020		"health:doctor"		
580								
581		"48.81"	"Provigo : courses"	20/08/2020				
582		"8.43"	"Metro : courses"					
583		"20.15"	"Lvlop : aprem gaming"	22/08/2020				
584								
585								
586		"21.85"	"Shogun sushi : restaurant"	25/08/2020				
587		7	"Café "					
588		"12.40"	"RTC : Ticket pour le bus"	26/08/2020				
589								
590								
591								
592								
593								
594								
595								
596								
597								
598								
599								
600								
601								
602								
603								
604								
605								
606								
607								
608								
609								
610								
611								
612								
613								
614								
615								
616								
617								
618								
619								
620								
621								
622								
623								
